Year,EventBaseCode,Count
2015,193,44074
2017,160,25563
2017,031,21168
2018,090,69764
2018,087,45601
2015,103,76
2019,196,44
2019,165,31
2020,128,3442
2019,071,37736
2020,202,281
2020,185,248
2019,091,594
2016,121,312
2015,021,3824
2016,145,2115
2018,121,306
2018,184,6
2019,160,26434
2019,028,858
2016,138,19110
2015,190,149898
2015,160,15319
2015,161,5936
2017,183,2480
2017,182,14864
2017,166,1080
2017,074,685
2018,085,4866
2018,104,1672
2015,195,12050
2015,019,803
2015,143,831
