,MonthYear,Count,SumNumMentions,Actor2CountryCode
729,201803,7,32,MEX
730,201507,63,219,USA
731,201803,5,24,NOR
732,201610,11,60,SEN
733,201810,63,286,UKR
734,202001,13,58,BLR
735,201702,4,10,HRV
736,201505,17,80,WST
737,201509,18,57,IRN
738,201502,1,4,COL
739,201507,2,8,MDA
740,201504,9,21,IRL
741,201705,73,366,FRA
742,201811,5,18,VAT
743,201509,3,10,BGD
744,201603,1,10,SRB
745,201812,28,105,CZE
746,201808,28,82,DEU
747,201910,87,365,POL
748,201912,4,20,GRC
749,201809,3,5,KOR
750,201505,4,12,DNK
751,201506,3,10,ALB
752,201911,6,30,CZE
753,201612,2,10,SRB
754,201902,20,82,CZE
755,201902,186,750,USA
756,201606,12,72,SWE
757,202003,12,68,HUN
758,201906,8,34,IRL
759,202002,1,2,IRL
760,201901,4,8,ARM
761,201903,1,10,TUR
762,201902,5,14,SAU
763,201911,1,4,VNM
764,201808,2,4,BEL
765,201607,7,58,TKM
766,201808,2,8,QAT
767,201606,6,60,HUN
768,201507,1,10,TUN
769,202005,4,20,VEN
770,202008,1,1,ISR
771,202009,5,20,LVA
772,201511,133,492,POL
773,201801,10,30,CZE
774,201710,11,38,BEL
775,201706,82,415,EUR
776,201612,3,18,MEX
777,201603,1,10,ESP
778,201503,29,150,GRC
779,201803,1,6,SRB
780,201602,124,691,GBR
781,201505,21,86,LTU
782,201803,8,38,PRT
783,201801,3,16,NLD
784,201506,3,22,VAT
785,201711,1,8,THA
786,201811,132,482,POL
787,201509,12,62,BGR
788,201501,5,25,USA
789,201612,5,30,CUB
790,201811,2,18,IRN
791,201502,3,10,EST
792,201806,4,26,ITA
793,201606,1581,11297,
794,201807,1,20,ARM
795,201808,4,20,KAZ
796,201610,2,10,DMA
797,201908,75,302,RUS
798,201706,1,1,TUR
799,201712,23,81,JPN
800,201809,5,28,BRA
801,201809,27,146,LTU
802,201804,1,10,MEX
803,201903,85,450,RUS
804,201909,9,29,IRL
805,202011,347,2291,
806,202011,165,842,HUN
807,201708,2,10,IDN
808,201901,2,10,BGD
809,201606,95,462,GBR
810,201903,1,4,PER
811,201505,2,30,ISL
812,201807,2,18,COL
813,202004,1,5,TWN
814,201908,2,8,MEX
815,201910,3,8,CAN
816,201911,2,10,COL
817,201712,1,10,ECU
818,202006,2,10,EST
819,202008,11,42,LBN
820,202008,1,2,IRL
821,201511,67,309,USA
822,201608,7,30,CHE
823,201701,933,6455,
824,201702,23,112,RUS
825,201805,24,93,DEU
826,201801,10,64,LTU
827,201709,6,35,ARM
828,201612,5,42,SYR
829,201704,11,48,EGY
830,201506,31,129,CHN
831,201803,23,85,MKD
832,201812,96,310,POL
833,201503,10,31,LVA
834,201505,35,178,RUS
835,201601,1,2,MNG
836,201510,3,10,PER
837,201509,5,31,AUS
838,201609,66,288,HUN
839,201605,5,18,IDN
840,201909,1,10,CAN
841,202012,5,30,FRA
842,201806,6,10,FIN
843,202012,7,38,LTU
844,201706,1,2,VAT
845,201504,6,24,HUN
846,201808,37,256,UKR
847,201911,23,120,EUR
848,202003,2,22,ESP
849,201701,3,30,BGR
850,201907,3,9,CHL
851,201712,6,31,PRK
852,201804,6,40,CUB
853,201902,234,778,ISR
854,201809,1,2,KGZ
855,201911,1,4,CAN
856,201909,7,60,MKD
857,201910,59,647,GBR
858,201802,2,8,HRV
859,201608,3,10,EST
860,201902,13,44,QAT
861,201808,1,10,ARG
862,201809,4,10,LVA
863,201901,1,10,PSE
864,201607,5,27,IRQ
865,201805,2,2,CHL
866,201712,1,10,MLT
867,201810,1,10,SYR
868,201906,1,10,BRA
869,202004,19,116,USA
870,202007,13,83,GBR
871,202008,32,183,RUS
872,202003,43,174,GBR
873,201702,27,86,HUN
874,201710,33,184,FRA
875,201510,87,481,USA
876,201704,1,1,ISL
877,201505,3,10,NGA
878,201801,3,6,NOR
879,201801,4,15,GRC
880,201504,6,15,CHE
881,201811,44,262,RUS
882,201506,1,4,NGA
883,201905,1,3,AZE
884,201602,3,14,DZA
885,201604,1,10,SYR
886,202012,21,120,UKR
887,201712,5,19,AUT
888,201701,2,2,NGA
889,201806,8,25,DNK
890,201908,2,10,MYS
891,201806,13,42,AUT
892,202002,1,10,ARG
893,201906,33,152,DEU
894,202005,1,2,BEL
895,201509,2,10,ARG
896,201609,2,10,MLT
897,201906,11,41,EGY
898,201712,1,10,VAT
899,201506,2,10,MEX
900,201710,4,20,AFR
901,201512,1,8,VEN
902,201902,4,10,ARE
903,201607,1,2,MEX
904,201505,1,8,IRL
905,201501,1,2,POL
906,201905,5,18,EST
907,201606,4,18,KWT
908,201707,1,10,MCO
909,201611,1,4,IND
910,202006,9,34,WST
911,201711,2,10,TZA
912,201803,201,754,POL
913,201612,103,557,UKR
914,201705,2,4,ARG
915,201506,19,91,LVA
916,201504,5,40,LUX
917,201812,62,313,UKR
918,201801,5,15,WST
919,201508,43,243,CZE
920,201810,18,73,BEL
921,201505,13,72,BLR
922,201701,22,56,ISR
923,201912,2,5,CAN
924,201505,3,13,CYP
925,201512,1,4,MEX
926,201707,2,5,ARM
927,201703,5,42,IRL
928,201904,19,64,HUN
929,201712,2,14,ESP
930,201603,6,37,AUT
931,201710,6,16,NLD
932,201808,19,103,EUR
933,201612,6,28,IRN
934,201809,27,106,DEU
935,201503,1,2,TKM
936,201608,1,10,EGY
937,201503,2,20,LUX
938,201904,4,20,AUS
939,201909,3,5,NLD
940,201608,4,17,VAT
941,201809,4,14,ESP
942,201501,1,10,KEN
943,201912,1,7,HRV
944,201908,12,38,BEL
945,201906,8,37,WST
946,201710,3,10,HRV
947,201810,1,10,BGR
948,202003,1,8,SAU
949,201909,5,17,SWE
950,201609,1,5,CHE
951,201702,7,30,IRQ
952,201702,2,20,TUR
953,201602,1,10,IRN
954,201904,3,23,JPN
955,201708,2,8,PRT
956,201812,5,28,IRL
957,201712,2,14,SWE
958,201801,3,30,TWN
959,201712,5,15,VNM
960,202003,13,59,ITA
961,202008,58,269,DEU
962,202008,4,5,CAS
963,202009,2,10,DZA
964,201611,12,46,WST
965,201704,2,5,SGP
966,201602,56,298,USA
967,201703,84,445,DEU
968,201703,3,14,MDA
969,201708,5,30,IRL
970,201610,15,66,WST
971,201702,4,7,LVA
972,201507,15,56,IRL
973,201505,166,801,POL
974,201710,7,21,CAN
975,201803,108,574,USA
976,201704,3,40,ITA
977,201704,1,10,MNG
978,201709,2,6,EGY
979,201510,29,92,CHN
980,201505,127,663,UKR
981,201705,72,326,USA
982,201705,4,20,BLR
983,201605,38,160,DEU
984,201505,2,4,LUX
985,201601,15,54,NOR
986,201512,11,46,BEL
987,201602,12,50,ESP
988,201504,11,65,CHN
989,201612,7,32,ESP
990,201708,8,24,EGY
991,201609,1,10,COL
992,201712,159,734,POL
993,201704,2,12,CYP
994,201907,2,2,MKD
995,201906,5,20,ESP
996,201906,7,91,FIN
997,201805,2,10,AFR
998,201908,3,9,PAK
999,201712,2,10,TWN
1000,201910,3,18,ISR
1001,201606,13,72,DNK
1002,201606,17,68,BGR
1003,201812,2,5,NOR
1004,202010,4,10,TCD
1005,201910,3,30,KEN
1006,201608,3,20,VNM
1007,201607,7,36,PRT
1008,201808,2,10,GRC
1009,201607,1,6,MUS
1010,201607,4,8,NZL
1011,201905,1,20,TJK
1012,201905,3,14,BLR
1013,201606,8,36,IRQ
1014,201606,4,8,COD
1015,201707,1,6,LKA
1016,201807,2,5,TWN
1017,201612,4,8,COG
1018,201810,5,28,LBN
1019,202004,27,115,RUS
1020,202007,3,10,NGA
1021,202006,3,5,AUS
1022,202007,1,10,AZE
1023,202008,33,92,CZE
1024,202009,27,154,UKR
1025,202009,3,15,NLD
1026,201608,42,195,USA
1027,201708,10,70,CHN
1028,201708,2,6,LVA
1029,201610,27,103,DEU
1030,201709,75,325,DEU
1031,201609,29,129,FRA
1032,201711,2,12,PAN
1033,201710,2,4,IRL
1034,201802,29,133,GBR
1035,201803,11,47,IRL
1036,201506,65,516,EUR
1037,201602,111,393,POL
1038,201807,41,209,RUS
1039,201703,59,336,HUN
1040,201703,8,30,BLR
1041,201510,10,26,ITA
1042,201512,28,216,LVA
1043,201803,26,186,LUX
1044,202001,17,88,GBR
1045,202001,3,12,EST
1046,201512,3,50,MAR
1047,201503,1,10,OMN
1048,201508,6,26,ARM
1049,201512,14,117,WST
1050,201510,5,19,JPN
1051,202002,2,10,CHE
1052,201611,1,2,MLT
