,MonthYear,Count,SumNumMentions,Actor2CountryCode
2773,201907,3,12,ISL
2774,201912,5,31,NGA
2775,201901,3,19,BOL
2776,201901,42,192,AZE
2777,201903,7,26,NLD
2778,201801,7,28,YEM
2779,202011,1,10,YEM
2780,201510,2,8,TUN
2781,201512,1,4,PRT
2782,201812,19,116,ERI
2783,201611,16,143,MKD
2784,201611,2,4,TUN
2785,202001,26,113,SRB
2786,201902,70,269,BGR
2787,201701,2,20,UZB
2788,201908,21,62,DNK
2789,201907,33,184,MLI
2790,202001,3,5,NGA
2791,201911,6,25,DNK
2792,202001,3,10,SAU
2793,201907,13,34,PHL
2794,201906,1,2,JAM
2795,201903,1,4,LVA
2796,201807,1,4,MCO
2797,201907,1,10,BRB
2798,201902,1,6,ZAF
2799,201904,3,8,DNK
2800,201606,94,538,WST
2801,201802,1,2,NGA
2802,202012,3,11,NOR
2803,201804,2,3,NZL
2804,201708,1,1,MAR
2805,201805,10,30,LUX
2806,202003,151,606,CHN
2807,202005,104,396,BLR
2808,202006,8,34,BGR
2809,202008,6,28,CUB
2810,202008,13,64,KAZ
2811,202009,3,29,ESP
2812,201801,305,1286,CHN
2813,201805,4913,28185,
2814,201805,3,7,THA
2815,201803,42,167,KAZ
2816,201802,23,120,LBN
2817,201802,28,104,JOR
2818,201706,73,377,BRA
2819,201706,14,76,PRT
2820,201503,581,2173,DEU
2821,201510,203,864,JOR
2822,201603,32,188,CUB
2823,201506,528,1995,USA
2824,201510,33,96,UZB
2825,201712,11,73,GRC
2826,201712,89,323,KAZ
2827,201703,27,112,VEN
2828,201703,1236,5478,USA
2829,201601,240,852,FRA
2830,201703,21,140,BGR
2831,201503,77,311,CUB
2832,201806,5,17,THA
2833,201806,76,311,MEX
2834,201608,18,65,CAN
2835,201709,44,150,JOR
2836,201604,6,22,BRN
2837,201702,28,118,BGR
2838,201902,2,4,ISL
2839,201710,9,40,ARE
2840,201605,56,254,POL
2841,201807,238,1008,FRA
2842,201611,14,56,PAK
2843,201909,829,3909,UKR
2844,201909,27,140,KGZ
2845,201511,16,62,ARE
2846,201704,4,9,ZAF
2847,201604,13,74,SWE
2848,201611,5,24,BHR
2849,201602,9,29,PSE
2850,201808,5,30,LVA
2851,202001,14,54,PAK
2852,201912,70,313,WST
2853,201807,18,83,IND
2854,201811,2,10,BOL
2855,201811,61,247,ARM
2856,201811,9,30,QAT
2857,201811,9,70,CAF
2858,201910,261,1501,AFR
2859,201906,15,84,HUN
2860,201906,6,31,ARE
2861,201707,2,20,SGP
2862,201504,28,115,EGY
2863,201912,20,83,ITA
2864,201901,379,2105,VEN
2865,201903,1,10,THA
2866,201903,20,61,UZB
2867,201810,3,30,TUN
2868,201809,1,10,MAR
2869,201809,9,24,MNG
2870,201906,11,48,PHL
2871,201903,10,40,AFR
2872,201808,3,9,ESP
2873,201910,2,14,MYS
2874,201708,3,12,BGR
2875,201710,3,30,AGO
2876,201710,7,34,MKD
2877,201504,2,8,MDV
2878,201501,3,6,VNM
2879,201901,6,19,IRL
2880,201806,6,18,URY
2881,201901,12,55,EGY
2882,201903,18,46,FIN
2883,201911,12,55,MYS
2884,201710,2,4,GRD
2885,201608,3,25,ARG
2886,201711,4,14,SAS
2887,201707,1,10,PRY
2888,201911,19,88,PAK
2889,201908,7,14,YEM
2890,201904,2,10,BOL
2891,201902,1,10,PER
2892,202010,5,14,DNK
2893,202010,2,10,SDN
2894,201512,2,10,COL
2895,201707,2,7,IND
2896,202012,2,8,MAR
2897,201705,2,20,SSD
2898,201607,2,4,JAM
2899,202003,2,5,MCO
2900,201607,2,6,SVK
2901,201606,1,4,NPL
2902,201803,1,5,UGA
2903,201606,1,2,TCD
2904,201812,1,10,MNG
2905,202010,1,8,ARG
2906,202004,53,151,IRN
2907,202003,100,450,BLR
2908,202004,2,8,MDV
2909,202005,62,310,IRN
2910,201905,422,1829,CHN
2911,202006,76,337,SAU
2912,202005,3,14,CAN
2913,202005,2,2,HRV
2914,202007,4,18,CUB
2915,202007,6,14,ARE
2916,202008,6,26,MDA
2917,202007,1,1,HRV
2918,202009,695,3148,BLR
2919,202009,22,109,WST
2920,202002,6,41,LBN
2921,201701,279,1097,CHN
2922,201709,49,155,AUS
2923,201802,38,157,AZE
2924,201710,245,1673,EGY
2925,201706,84,258,SAU
2926,201504,649,2551,FRA
2927,201505,15,61,MNG
2928,201503,1484,6838,UKR
2929,201604,369,1569,SAU
2930,201504,109,602,POL
2931,201703,4,19,COL
2932,201703,5,35,PRT
2933,201707,2741,9955,USA
2934,201804,90,359,AUT
2935,201701,17,86,KGZ
2936,201503,35,103,AZE
2937,201605,273,1154,JPN
2938,201602,86,312,ITA
2939,201509,35,160,AUT
2940,201711,5,18,ZAF
2941,201806,32,192,PER
2942,201608,48,220,KAZ
2943,201607,912,3935,USA
2944,201604,10,44,ARG
2945,201505,15,61,ARE
2946,201603,7,37,ARG
2947,201808,5179,32827,
2948,201701,83,386,PSE
2949,201511,30,145,NOR
2950,201510,10,36,NIC
2951,201610,36,110,DZA
2952,201810,74,309,GRC
2953,201809,1950,8099,TUR
2954,201502,27,84,CUB
2955,201504,19,62,MDA
2956,201704,7,60,CHL
2957,201801,10,60,KOR
2958,201707,4,12,CYP
2959,201809,13,84,NOR
2960,201504,8,42,BOL
2961,201804,17,58,HRV
2962,201603,11,46,HUN
2963,201811,46,184,PRK
2964,201911,71,367,JPN
2965,201801,11,37,ESP
2966,201607,72,397,GRC
2967,202012,33,150,HUN
2968,201512,2,10,SEN
2969,201904,210,885,VEN
2970,201904,2,4,CZE
2971,201808,10,40,CYP
2972,202003,5,35,NLD
2973,201612,13,48,CAN
2974,201904,45,212,NOR
2975,201812,6,24,BOL
2976,201512,5,8,GEO
2977,201508,2,10,BRA
2978,201806,47,183,MDA
2979,201708,9,78,TJK
2980,201601,8,42,PER
2981,201511,2,10,CMR
2982,201601,1,10,IND
2983,202011,5,26,KOR
2984,201703,12,57,IDN
2985,201905,4,17,TKM
2986,201608,5,40,MDV
2987,201505,10,42,ZWE
2988,201707,2,10,TZA
2989,201705,5,12,ARE
2990,201903,9,32,TKM
2991,202002,2,2,DJI
2992,202003,2,10,THA
2993,201509,1,20,NIC
2994,201509,1,3,PGS
2995,201510,1,20,SGP
2996,201808,5,18,MEX
2997,201708,2,8,HUN
2998,201811,8,30,NZL
2999,201806,2,15,AFR
3000,201607,1,1,HTI
3001,201607,3,14,MCO
3002,201908,6,10,AGO
3003,202010,2,10,DZA
3004,201610,1,10,GTM
3005,201702,2,8,MUS
3006,201606,2,10,PGS
3007,201809,2,20,DOM
3008,201703,3,4,NMR
3009,201907,2,2,RWA
3010,201801,2,11,IRL
3011,202006,18,54,POL
3012,202007,3,10,SWE
3013,202007,10,54,SRB
3014,202007,1,10,BOL
3015,202009,33,169,JPN
3016,202009,6,30,NGA
3017,201709,71,331,IRQ
3018,201801,2,12,DZA
3019,201711,7,48,PRT
3020,201711,44,239,SRB
3021,201711,20,71,QAT
3022,201609,174,610,PSE
3023,201706,57,378,NOR
3024,201508,359,1435,DEU
3025,201602,188,731,CHN
3026,201512,217,1006,BLR
3027,201612,2698,12339,TUR
3028,201712,3,16,SVK
3029,201703,16,81,GRC
3030,201506,14,147,YEM
3031,201507,39,145,CHE
3032,201602,43,223,AFG
3033,201603,126,692,EUR
3034,201510,32,83,LBN
3035,201806,272,1741,EGY
3036,201603,74,341,MAR
3037,201609,2,10,VAT
3038,201706,11,46,DZA
3039,201606,186,744,FRA
3040,201803,8,23,CUB
3041,201702,30,182,SRB
3042,201710,117,609,VEN
3043,201508,22,83,MAR
3044,201506,43,173,EGY
3045,201701,25,137,CAN
3046,201510,33,141,CUB
3047,201610,5,14,MAR
3048,201610,15,52,CZE
3049,201810,145,559,ITA
3050,201611,24,97,DZA
3051,201611,27,84,CAN
3052,201506,29,124,MDA
3053,201712,2,10,MDV
3054,201705,24,140,CUB
3055,201604,12,34,CAN
3056,201603,7,30,IDN
3057,201805,4,7,VNM
3058,201805,7,12,LBY
3059,201909,16,37,EGY
3060,201804,4,8,TWN
3061,201803,29,111,SWE
3062,201812,445,1676,SYR
3063,201602,6,10,KWT
3064,201809,8,32,DZA
3065,201708,19,52,LBN
3066,201502,5,16,AFR
3067,201610,11,68,ECU
3068,201906,54,303,KOR
3069,201803,17,52,NGA
3070,201503,1,9,PHL
3071,201912,30,132,EGY
3072,201801,20,124,MMR
3073,201608,6,11,BGD
3074,201803,12,34,SYC
3075,201810,5,8,SWE
3076,201809,7,21,CAF
3077,201809,8,20,COL
3078,201512,4,24,PHL
3079,201612,6,32,KOR
3080,201701,12,54,MNG
3081,201807,8,13,CZE
3082,202012,2,10,TUN
3083,201910,19,68,VNM
3084,201806,13,40,VEN
3085,201905,31,114,COG
3086,202001,2,8,LBN
3087,201904,7,37,IDN
3088,202001,19,34,MYS
3089,201707,1,1,PNG
3090,201911,1,10,MAR
3091,201902,5,23,DZA
3092,201902,4,7,DNK
3093,201906,3,12,CAS
3094,201812,8,50,CAF
3095,201906,1,10,NAM
3096,201707,2,10,NZL
3097,201904,14,88,CAF
3098,201712,4,33,CAS
3099,202004,2,5,NPL
3100,202010,513,2110,RUS
3101,201610,19,42,SDN
3102,201607,13,55,NGA
3103,201607,1,4,MDV
3104,202011,3,16,DZA
3105,201910,2,2,PER
3106,202001,6,20,TJK
3107,201606,16,47,CHE
3108,201905,2,10,BOL
3109,201904,1,6,PRY
3110,202004,67,327,BLR
3111,202004,2,10,BRA
3112,202005,10,47,SGP
3113,201906,75,250,KGZ
3114,202009,138,571,SYR
3115,202009,2,10,IRL
3116,201709,90,346,AFG
3117,201711,1165,4585,USA
3118,201801,19,72,VEN
3119,201805,46,184,KAZ
3120,201805,20,100,UZB
3121,201803,20,89,NAM
3122,201803,36,168,MDA
3123,201802,15,73,CHE
3124,201711,568,2306,VNM
3125,201711,6,16,LVA
3126,201609,23,99,LBY
3127,201609,282,1203,EGY
3128,201706,4,19,ETH
3129,201505,86,293,AZE
3130,201603,908,3556,USA
3131,201605,96,460,EGY
3132,201504,22,52,ITA
3133,201602,61,243,MDA
3134,201612,45,228,ITA
3135,201612,1,1,MCO
3136,201805,3,8,NMR
3137,201610,200,938,JPN
3138,201611,292,1262,JPN
3139,201512,36,157,POL
3140,201608,34,132,ITA
3141,201608,97,383,ISR
3142,201510,161,657,AUT
3143,201511,28,75,VNM
3144,201604,123,677,EUR
3145,201510,15,44,YEM
3146,201503,91,327,NIC
3147,201505,6,34,BHR
3148,201710,47,230,MEX
3149,201704,21,161,CUB
3150,201603,30,159,WST
3151,201502,9,33,AZE
3152,201507,22,125,BGR
3153,201512,11,31,VNM
3154,201508,17,65,NOR
3155,201607,5159,29208,
3156,201909,3,40,KEN
3157,201809,479,1585,ISR
3158,201509,33,129,AFG
3159,201804,611,2230,IRN
3160,202001,5,38,SWE
3161,201803,1,8,PSE
3162,201511,4,12,ISL
3163,201601,9,51,YEM
3164,201810,18,52,SGP
3165,201911,36,147,CUB
3166,201803,1,8,AIA
3167,201707,12,55,ARE
3168,201804,28,126,VEN
3169,201906,33,121,AZE
3170,201906,10,26,QAT
3171,201511,33,114,TKM
3172,201504,5,22,SEA
3173,201706,7,49,LTU
3174,201805,10,37,IND
3175,201909,5,10,NIC
3176,201903,46,188,SAU
3177,201903,168,702,CHN
3178,201808,14,69,SWE
3179,201904,2,5,ZWE
3180,201502,2,7,MEX
3181,201908,6,20,QAT
3182,202011,10,42,ISR
3183,202011,7,36,ESP
3184,201906,4,20,SUR
3185,201608,1,4,HRV
3186,201907,7,32,IRQ
3187,202012,13,25,IRQ
3188,201906,9,30,CZE
3189,201901,4,8,NZL
3190,201812,1,10,AND
3191,201811,15,34,ECU
3192,201808,1,4,BLZ
3193,201607,39,128,BRA
3194,201912,8,39,CHE
3195,201805,1,2,MCO
3196,201905,8,47,AUS
3197,201703,11,47,BRA
3198,201711,1,10,DNK
3199,202012,4,32,VNM
3200,201609,3,20,BGD
3201,202009,1,10,CHE
3202,201811,2,7,HRV
3203,201905,3,16,ETH
3204,201912,3,14,MAR
3205,201909,2,10,QAT
3206,201803,2,2,COD
3207,201910,4,4,JAM
3208,202010,3,21,LBY
3209,202004,7,36,POL
3210,202003,44,224,AUT
3211,202004,3,10,IRL
3212,202004,1,8,BGD
3213,202005,181,648,TUR
3214,202006,22,84,FIN
3215,202007,12,44,BRA
3216,202007,6,11,UZB
3217,202008,17,49,EGY
3218,202007,1,2,SDN
3219,202008,1,5,PGS
3220,201908,10,71,PHL
3221,201711,40,167,CUB
3222,201711,36,145,WST
3223,201803,36,117,EST
3224,201802,147,566,DEU
3225,201602,441,1770,TUR
3226,201703,52,188,IRQ
3227,201610,1,10,BHR
3228,201611,22,91,ESP
3229,201701,8,23,AFR
3230,201511,263,934,DEU
3231,201506,5,19,AFR
3232,201705,6,88,ECU
3233,201604,10,48,PRK
3234,201602,24,84,ARE
3235,201706,32,128,POL
3236,201706,3,14,MNG
3237,201504,20,66,AUS
3238,201503,30,170,WST
3239,201702,44,159,POL
3240,201902,19,96,NLD
3241,201704,18,51,LVA
3242,201512,15,60,KOR
3243,201807,570,2756,UKR
3244,201610,16,110,LKA
3245,201610,4,14,SGP
3246,201611,108,420,PHL
3247,201706,5,20,GHA
3248,201505,5,8,CMR
3249,201711,3,6,SVK
3250,201806,12,38,PHL
3251,201707,13,60,CZE
3252,201601,10,28,OMN
3253,201507,35,136,ITA
3254,201804,345,2991,EGY
3255,202001,26,188,MDA
