,MonthYear,Count,SumNumMentions,Actor2CountryCode
2349,201709,26,104,IRL
2350,201610,10,44,PER
2351,201802,18,98,ISR
2352,201706,14,48,IRQ
2353,201709,14,77,CHE
2354,201509,6,20,RWA
2355,201803,24,70,CAN
2356,201805,109,400,ITA
2357,201801,15,90,IRQ
2358,201805,86,371,GRC
2359,201508,237,943,CHN
2360,201804,84,310,BEL
2361,201804,166,571,CHN
2362,201601,256,876,RUS
2363,201508,123,634,TUR
2364,201608,3,8,BFA
2365,201608,1,10,CMR
2366,201705,37,151,CHE
2367,201804,4,20,SAU
2368,201507,76,266,BEL
2369,201509,17,102,FIN
2370,201710,50,246,GRC
2371,201605,40,242,NLD
2372,201510,64,220,BEL
2373,201504,16,70,SYR
2374,201711,1,10,MUS
2375,201712,166,604,USA
2376,201710,1,2,IDN
2377,201505,69,286,NLD
2378,201707,1,4,PER
2379,201607,3,10,BGD
2380,201502,3,40,NOR
2381,201512,5,22,MYS
2382,201506,2,8,MKD
2383,201509,22,101,SRB
2384,201811,250,1381,UKR
2385,201507,23,166,JPN
2386,201909,84,319,IRN
2387,201909,197,899,EUR
2388,201909,38,143,SAU
2389,201909,18,51,ISR
2390,201607,12,73,AFR
2391,201907,2,20,CYP
2392,201908,41,125,JPN
2393,201603,4,18,PSE
2394,201603,2,2,GHA
2395,201907,7,34,MEX
2396,201601,1,5,KGZ
2397,201910,19,73,IRL
2398,201901,6,17,HUN
2399,201909,23,126,SRB
2400,201503,2,10,AFG
2401,201904,16,50,ISR
2402,202002,1,10,GUY
2403,202002,10,55,JPN
2404,201602,1,10,CRI
2405,201902,1,4,NGA
2406,201809,3,10,CUB
2407,201809,2,5,KEN
2408,201903,3,20,LAO
2409,201601,1,2,SOM
2410,202002,12,45,LKA
2411,201901,4,6,SOM
2412,201811,1,8,CHL
2413,202001,38,149,POL
2414,201906,1,20,LBY
2415,201909,5,16,AZE
2416,201806,7,26,HUN
2417,201810,4,10,ERI
2418,201605,1,2,PAK
2419,201905,1,4,MDV
2420,202011,1,4,BRB
2421,201902,2,6,AIA
2422,201904,1,8,CYP
2423,201905,2,13,CHL
2424,201904,33,108,JPN
2425,202004,2,8,NAM
2426,202006,12,60,WST
2427,201906,10,49,WST
2428,201704,8,17,LKA
2429,201702,300,1167,TUR
2430,201702,30,95,IRN
2431,201701,16,60,ISR
2432,201702,25,129,IRQ
2433,201708,9,22,PRT
2434,201611,22,101,MAR
2435,201706,50,294,LBY
2436,201708,2,3,UZB
2437,201609,25,151,CHE
2438,201609,13,51,PAK
2439,201612,74,286,IRN
2440,201612,77,344,UKR
2441,201707,3,20,ARM
2442,201706,3,20,MAR
2443,201609,10,54,LUX
2444,201610,2,10,TUN
2445,201801,17,100,WST
2446,201709,18,150,MDA
2447,201709,18,95,FJI
2448,201704,4,12,MWI
2449,201803,94,503,POL
2450,201604,76,356,EGY
2451,201511,106,676,MLI
2452,201711,14,62,PRK
2453,201701,4,8,ERI
2454,201705,17,56,ARG
2455,201603,61,546,AUT
2456,201602,204,717,IRN
2457,201710,40,141,NLD
2458,201612,2,4,BHR
2459,201703,19,76,IRL
2460,201503,11,29,LUX
2461,201710,3,20,HRV
2462,201712,6,30,DNK
2463,201712,21,76,SWE
2464,201712,16,88,ESP
2465,201805,3,10,HND
2466,201508,24,219,CZE
2467,201503,5,25,MKD
2468,201608,8,32,EGY
2469,201801,3,12,TWN
2470,201504,9,42,LUX
2471,201505,53,273,BLR
2472,201502,5,30,BDI
2473,201503,10,44,LKA
2474,201705,1,10,PAN
2475,201505,4,20,CYP
2476,201512,4,40,MEX
2477,201909,9,42,SWE
2478,201603,15,37,TJK
2479,201803,4,15,LBN
2480,201908,28,140,BEL
2481,201811,3,6,EAF
2482,201811,2,10,SAS
2483,201502,3,10,EGY
2484,201712,7,15,VNM
2485,201809,783,3449,DEU
2486,201808,143,674,EUR
2487,201809,74,308,ESP
2488,201903,8,38,HRV
2489,201901,3,30,LBY
2490,201912,19,68,CAN
2491,201912,10,44,HRV
2492,201912,1,10,MDA
2493,202012,16,93,PRT
2494,201912,7,15,VNM
2495,201604,4,4,SDN
2496,202002,8,14,IND
2497,201812,43,160,UKR
2498,201503,2,10,BRB
2499,201904,6,30,AFG
2500,201810,64,250,BEL
2501,201810,11,68,BGR
2502,201909,24,100,NLD
2503,201908,3,10,SCN
2504,201904,8,28,AUS
2505,201904,7,32,HUN
2506,201812,1,10,LBN
2507,201812,16,84,IRL
2508,201602,2,5,TWN
2509,201902,1,5,GMB
2510,202003,1,10,SAU
2511,201909,1,20,VAT
2512,201811,2,2,ARE
2513,201810,5,9,AFG
2514,201806,1,2,PNG
2515,201811,1,2,AZE
2516,202012,4,20,AFG
2517,201910,1,10,VEN
2518,201502,1,4,SYR
2519,201908,3,10,MUS
2520,202004,9,47,PER
2521,202010,2,2,IND
2522,202009,21,82,ITA
2523,202009,2,10,ECU
2524,201611,2,4,BLZ
2525,201611,12,60,HUN
2526,201704,2791,17584,
2527,201704,1,10,HND
2528,201608,40,182,BLR
2529,201611,9,48,NAM
2530,201706,2,12,OMN
2531,201610,17,62,LTU
2532,201610,4,10,ZAF
2533,201706,7,14,LBN
2534,201609,1,4,AGO
2535,201610,1,2,MNG
2536,201612,9,64,BGR
