,Actor2CountryCode,MonthYear,Count
595,LBY,201701,17
596,PHL,201708,9
597,LBY,201611,2
598,EUR,201507,1927
599,SYR,201509,755
600,SEN,201706,2
601,BLR,201601,1535
602,SWE,201507,65
603,CAN,201603,205
604,NLD,201505,77
605,USA,201506,2502
606,CAN,201504,279
607,SWE,201604,63
608,PRT,201505,7
609,OMN,201602,68
610,VAT,201506,156
611,HUN,201507,153
612,SOM,201804,4
613,PAK,201510,14
614,AZE,201507,35
615,COG,201504,3
616,UGA,201503,2
617,NOR,201602,33
618,PER,201601,8
619,BHS,201506,2
620,KEN,201605,2
621,GEO,201806,17
622,GBR,201806,354
623,COL,201805,7
624,BGR,201601,39
625,LVA,201606,20
626,IRL,201511,33
627,IND,201712,19
628,BRA,201601,34
629,AFR,201505,22
630,CHL,201508,1
631,TUN,201606,2
632,NIC,201504,4
633,CYP,201601,13
634,RUS,201811,20359
635,LTU,201811,148
636,IRQ,201811,11
637,CUB,201506,5
638,PRK,201603,16
639,PSE,201901,48
640,NLD,201904,87
641,PAN,201508,2
642,MLT,201507,2
643,RWA,201907,1
644,MEX,202012,15
645,PAK,201809,18
646,COL,201908,12
647,FRA,201910,655
648,ISR,201910,177
649,ISR,202001,973
650,MDA,202001,45
651,CHE,201911,26
652,NZL,201509,3
653,MDA,201902,109
654,CHL,201602,4
655,MHL,201809,3
656,PER,201808,1
657,ALB,202001,19
658,SYR,202001,35
659,UZB,201911,3
660,NIC,201910,5
661,UZB,201910,17
662,MNG,201903,7
663,ITA,202011,95
664,PRK,202011,2
665,NGA,202010,12
666,PAN,202002,7
667,SMR,201909,6
668,DZA,202010,9
669,CHL,202003,2
670,IRQ,202003,1
671,CHN,202004,290
672,HUN,202006,408
673,MDA,202006,55
674,PAK,202006,3
675,UKR,201908,7756
676,AGO,202008,1
677,MCO,202009,1
678,RUS,201709,6552
679,RUS,201801,5105
680,ITA,201803,148
681,HUN,201705,68
682,NMR,201705,9
683,PSE,201706,114
684,ARG,201706,5
685,AGO,201711,7
686,MDV,201803,5
687,AZE,201707,123
688,DEU,201609,1595
689,BDI,201707,2
690,OMN,201608,49
691,ITA,201802,149
692,GBR,201804,334
693,LTU,201704,218
694,LVA,201802,46
695,GEO,201610,26
696,DZA,201703,15
697,ALB,201611,102
698,KAZ,201702,58
699,ISL,201709,16
700,ISR,201701,153
701,EST,201708,34
702,SOM,201710,1
703,ZWE,201801,4
704,EGY,201607,31
705,LTU,201607,135
706,PRT,201608,26
707,NPL,201702,6
708,IND,201803,7
709,KHM,201701,2
710,ITA,201503,284
711,IRL,201512,51
712,SGP,201612,1
713,KWT,201804,4
714,BFA,201601,15
715,TJK,201707,5
716,KWT,201509,8
717,VEN,201706,1
718,JOR,201610,20
719,KOR,201509,86
720,BLZ,201801,12
721,CHN,201509,180
722,ALB,201702,40
723,SOM,201606,2
724,LUX,201503,30
725,TUN,201708,3
726,MEX,201712,7
727,CHL,201606,4
728,CAS,201705,4
729,ECU,201608,2
730,NOR,201503,15
731,KGZ,201508,23
732,GIN,201507,3
733,SVK,201508,37
734,HKG,201704,1
735,GHA,201610,4
736,KWT,201506,2
737,VAT,201508,13
738,COD,201502,6
739,BGD,201504,2
740,SEA,201701,2
741,FJI,201507,2
742,SAU,201807,4
743,NMR,201604,3
744,ZMB,201512,3
745,AFR,201905,11
746,TJK,201904,12
747,JAM,201602,2
748,FRA,201912,2353
749,AFG,201808,29
750,KGZ,201807,22
751,IRL,202012,50
752,ESP,201809,40
753,ITA,201809,114
754,BEL,201809,41
755,IDN,201908,4
756,NMR,201908,2
757,,201910,49820
758,JOR,201911,125
759,ITA,201910,282
760,LUX,201806,2
761,SAU,201909,43
762,SVK,202002,7
763,SAF,201806,1
764,KEN,201809,4
765,SDN,201909,13
766,BGD,201908,7
767,CZE,201902,36
768,DZA,201902,11
769,KHM,201506,1
770,SAU,202001,12
771,MAR,201904,5
772,GEO,201903,9
773,AZE,202011,49
774,GBR,202011,74
775,VEN,202011,4
776,GUY,201911,3
777,KWT,201810,3
778,BGR,202011,12
779,PRK,202003,3
780,AFG,202003,8
781,MYS,202003,184
782,UKR,201906,8041
783,KHM,202005,4
784,CHE,202006,34
785,HUN,202007,158
786,EUR,201906,1431
787,CAS,202007,15
788,HUN,202008,62
789,GEO,202009,3
790,USA,202002,3470
791,,201708,31335
792,KOR,201709,42
793,UKR,201802,8139
794,EGY,201711,65
795,CHN,201706,194
796,UKR,201606,10448
797,IND,201709,13
798,TUR,201703,674
799,CAN,201609,215
800,VAT,201710,11
801,ETH,201705,4
802,UZB,201705,17
803,PRT,201802,27
804,EST,201704,62
805,EGY,201610,65
806,MDV,201610,5
807,YEM,201705,4
808,BGD,201612,1
809,ISR,201611,379
810,VNM,201703,22
811,MYS,201702,82
812,GEO,201609,9
813,NGA,201803,10
814,KOR,201701,16
815,LTU,201708,177
816,THA,201611,19
817,MYS,201510,425
818,NPL,201701,3
819,NZL,201708,6
820,CYP,201804,28
821,KHM,201704,3
822,RUS,201503,15472
823,UKR,201507,11867
824,IRN,201512,14
825,MEX,201804,2
826,EGY,201505,23
827,CHN,201503,130
828,MDA,201507,175
829,CAF,201604,4
830,GEO,201512,63
831,AFG,201804,19
832,GHA,201507,1
833,SAS,201604,4
834,HUN,201504,79
835,VNM,201706,1
836,KEN,201606,2
837,ZAF,201505,16
838,ALB,201605,9
839,JOR,201509,10
840,LBR,201509,10
841,BGD,201801,1
842,IND,201603,11
843,MAR,201605,3
844,FRA,201807,375
845,RWA,201509,2
846,ZAF,201508,13
847,GEO,201505,16
848,SEA,201512,4
849,NMR,201510,7
850,SRB,201606,9
851,IRL,201807,38
852,LBN,201901,1
853,MAR,201810,10
854,CYP,201808,73
855,COG,201808,1
856,DEU,201904,727
857,UZB,201904,7
858,TUN,201603,4
859,WST,201809,225
860,CUB,201808,3
861,VNM,202012,10
862,PRT,201809,41
863,PSE,201908,55
864,ALB,201811,4
865,LKA,201811,3
866,AFR,202001,4
867,COL,201903,2
868,FIN,201904,13
869,LIE,201811,1
870,SOM,201809,2
871,TJK,201907,6
872,CRI,202012,2
873,NMR,201806,4
874,NLD,202011,36
875,ISL,201912,1
876,CHE,202010,11
877,PHL,202010,2
878,MOZ,201910,2
879,KHM,201905,2
880,CAS,201812,4
881,SGP,201912,4
882,BRA,202003,11
883,FRA,202003,258
884,JAM,202003,2
885,UKR,202004,5080
886,IRN,201905,49
887,FIN,202006,13
888,KAZ,202007,11
889,KAZ,202006,8
890,SAU,202007,17
891,AFG,202009,8
892,POL,202002,330
893,BGR,201709,91
894,UKR,201803,8382
895,CAF,201705,4
896,SAU,201705,14
897,KAZ,201709,52
898,SYR,201701,214
899,EST,201706,21
900,AUT,201711,69
901,BEL,201703,144
902,MLT,201703,71
903,GBR,201703,640
904,EST,201707,31
905,SSD,201707,2
906,SVK,201707,27
907,AUT,201705,45
908,IRN,201802,54
909,DNK,201611,13
910,POL,201804,688
911,ZAF,201804,17
912,BGR,201704,65
913,BEL,201704,84
914,CIV,201610,1
915,NGA,201702,67
916,ALB,201803,18
917,BLR,201708,906
918,IDN,201804,10
919,BRN,201701,8
920,TJK,201710,5
921,CHN,201708,125
922,LBR,201802,27
923,BRA,201509,21
924,PSE,201601,77
925,EUR,201510,1301
926,ISR,201505,84
927,KAZ,201503,92
928,AUT,201712,84
929,PRT,201712,188
930,LVA,201510,160
931,PSE,201603,112
932,CZE,201502,61
933,PRK,201509,11
934,IRN,201502,32
935,ZAF,201512,15
936,ZWE,201805,9
937,KOR,201512,34
938,GRC,201510,95
939,SRB,201806,23
940,ATG,201803,3
941,SDN,201702,6
942,IRQ,201603,64
943,CHE,201606,55
944,NMR,201704,6
945,ZAF,201610,4
946,TUN,201604,6
947,LTU,201501,2
948,VNM,201510,12
949,PER,201704,2
950,BDI,201601,3
951,ZAF,201509,10
952,SEN,201708,1
953,PAK,201509,10
954,MLT,201510,2
955,SEN,201811,2
956,ITA,201907,554
957,MDV,201907,10
958,CMR,201512,5
959,GHA,201602,4
960,LVA,201810,16
961,PRT,201808,21
962,QAT,201904,37
963,DNK,201904,29
964,ECU,201904,9
965,CUB,201912,3
966,ZAF,201808,16
967,COL,201806,3
968,GBR,201911,313
969,UGA,201505,1
970,IND,201903,16
971,LBY,202001,23
972,BGR,201907,29
973,VNM,201807,18
974,SYR,201906,31
975,CHL,201807,7
976,SVK,202003,26
977,BRA,201811,10
978,LBY,201602,1
979,CAS,201908,5
980,ITA,201902,132
981,ARG,201901,17
982,NOR,201907,7
983,GRD,201911,10
984,ETH,201512,2
985,TJK,201902,1
986,EST,202011,38
987,THA,202010,12
988,HRV,201912,8
989,SEA,201908,1
990,ALB,201905,9
991,ITA,202004,618
992,AUT,202004,29
993,FIN,202005,96
994,TUR,202005,230
995,PSE,202005,45
996,ARM,202007,83
997,HUN,202009,211
998,PRT,202009,40
999,UGA,202009,4
1000,FRA,201705,837
1001,BEL,201705,127
1002,ZAF,201705,29
