,Actor2CountryCode,MonthYear,Count
881,NOR,201802,50
882,AUT,201802,44
883,BRB,201609,1
884,HUN,201510,213
885,LTU,201804,125
886,ZWE,201804,9
887,NGA,201611,4
888,IDN,201801,13
889,NRU,201609,2
890,MNG,201805,4
891,GBR,201508,377
892,ARE,201705,10
893,MEX,201705,35
894,LBY,201801,8
895,DOM,201612,2
896,CHL,201510,34
897,IRN,201509,106
898,LTU,201509,196
899,IRL,201506,67
900,AUT,201807,75
901,TKM,201502,7
902,EUR,201908,345
903,MDA,201810,35
904,PRK,201602,27
905,SEN,201601,9
906,POL,201812,1619
907,SVK,201812,93
908,NGA,201812,248
909,NAM,201812,5
910,LVA,201804,13
911,PHL,201502,5
912,LBN,201506,12
913,SYR,201811,34
914,ETH,201603,1
915,NLD,201508,19
916,AUS,201808,172
917,KHM,201705,4
918,JOR,201906,8
919,AFG,201812,6
920,VAT,201808,16
921,MKD,201604,16
922,EST,201809,9
923,PSE,201902,207
924,MOZ,201504,3
925,DOM,201803,2
926,HRV,201901,31
927,BEL,201901,194
928,TCD,201901,3
929,BEL,201907,132
930,PRT,201907,22
931,BRA,201806,12
932,SWE,201806,52
933,BLR,201911,114
934,BOL,201507,9
935,GRC,201912,49
936,MUS,201912,1
937,SDN,201902,10
938,AUS,202012,25
939,BRA,201910,12
940,PSE,201811,3
941,IRN,202011,4
942,AGO,202011,2
943,TCD,201606,1
944,PHL,201511,5
945,LCA,201509,2
946,CIV,201806,1
947,VCT,202010,2
948,TJK,202010,2
