,Actor2CountryCode,MonthYear,Count
815,KEN,201809,1
816,AZE,202011,1
817,EGY,201607,1
818,ISL,202003,2
819,NZL,202009,2
820,CZE,201710,208
821,BGR,201802,13
822,HUN,201805,43
823,LUX,201803,9
824,SRB,201610,45
825,VNM,201612,18
826,UKR,201706,99
827,HUN,201511,148
828,FRA,201804,29
829,CZE,201911,250
830,MLT,201611,9
831,SRB,201601,19
832,SAU,201805,17
833,SYR,201511,15
834,CZE,201904,137
835,WST,201901,8
836,IRN,201604,5
837,CZE,201811,144
838,ITA,201905,41
839,SRB,201605,18
840,URY,201510,8
841,,202010,1014
842,EST,201511,22
843,GHA,201612,2
844,KEN,201703,9
845,SVK,201606,451
846,GBR,201606,211
847,BEL,201905,32
848,LBN,201704,2
849,FIN,201908,3
850,NOR,201806,17
851,MDV,202004,5
852,JOR,201505,4
853,SAU,201812,5
854,AUS,201807,1
855,ARM,201809,13
856,SDN,201809,2
857,PER,201609,3
858,PHL,201912,9
859,LTU,201908,3
860,PAN,201912,1
861,TWN,201807,7
862,MDV,201908,3
863,KHM,201801,1
864,AFR,202003,3
865,ISR,202007,3
866,EUR,201803,247
867,KAZ,201802,8
868,BLR,201801,14
869,FRA,201610,64
870,EGY,201803,1
871,WST,201803,3
872,DNK,201803,4
873,,201902,2331
874,EUR,201505,122
875,IND,201508,12
876,YEM,201503,5
877,POL,201508,83
878,KOR,201502,6
879,MDA,201702,2
880,,201712,1667
881,ITA,201908,9
882,CHE,201705,7
883,ARG,201601,9
884,BGR,201904,9
885,LUX,201609,44
886,SYR,201608,16
887,GTM,201608,1
888,GBR,201710,44
889,BEL,201712,19
890,SRB,201810,7
891,WST,201810,8
892,ARE,201508,3
893,USA,201808,114
894,TKM,201909,1
895,NLD,201911,3
896,LUX,201606,14
897,PRK,201609,9
898,SAU,201607,6
899,CHE,201811,6
900,BRA,201810,2
901,CYP,201904,3
902,URY,201604,2
903,NLD,201807,4
904,HRV,201606,10
905,PHL,201905,9
906,FIN,201811,10
907,RUS,201806,64
908,ARM,201909,2
909,IDN,201909,1
910,COG,201708,1
911,QAT,201502,2
912,IRQ,201909,9
913,LUX,201601,3
914,CHE,201812,20
915,HUN,201912,120
916,SDN,201711,1
917,PAN,201810,5
918,ARE,202011,4
919,IDN,201706,1
920,ARG,202002,3
921,SRB,201901,3
922,KHM,202004,1
923,SAS,201601,1
924,DMA,201606,3
925,USA,202003,44
926,HRV,202009,15
927,CZE,201803,274
928,AUT,201803,44
929,SRB,201801,15
930,CYP,201612,34
931,USA,201801,52
932,CZE,201807,147
933,,201504,2143
934,BEL,201603,48
935,SVK,201505,311
936,POL,201602,255
937,USA,201503,62
938,KWT,201512,8
939,MDA,201505,5
940,ETH,201611,8
941,HRV,201504,20
942,ISL,201902,19
943,PRT,201511,2
944,GRC,201908,15
945,MKD,201704,23
946,LTU,201610,2
947,FIN,201905,2
948,ISR,201807,50
949,MYS,201807,1
950,CHN,201906,42
951,LVA,201511,13
952,ESP,201903,6
953,JPN,201503,1
954,SRB,201809,6
955,KEN,201704,3
956,ESP,201911,3
957,CHN,201910,31
958,NOR,201906,5
959,SWE,201812,9
960,VNM,202002,38
961,AZE,202001,4
962,AFG,201503,6
963,MDV,201507,2
964,AFR,201602,4
965,PHL,201811,1
966,BLR,201910,7
967,ARM,201512,2
968,QAT,201603,4
969,ISR,201507,2
970,ECU,201609,5
971,BLR,201809,5
972,SWE,201611,3
973,ISL,201809,1
974,PER,201608,3
975,KOR,201911,2
976,ISL,201701,1
977,NGA,201512,2
978,BGR,202005,10
979,FIN,202007,7
980,AUT,201704,62
981,HUN,201802,113
982,AUT,201802,55
983,SVK,201801,334
984,GBR,201711,47
985,USA,201609,178
986,HUN,201510,333
987,BEL,202005,1
988,LTU,201509,14
989,PHL,201502,9
990,MKD,201604,27
991,LTU,201804,1
992,BLR,201611,90
993,GBR,201508,77
994,CUB,201702,17
995,USA,201708,54
996,EUR,201908,34
997,POL,201812,50
998,BEL,201901,10
999,HRV,201901,10
1000,DEU,201707,38
1001,NLD,201508,5
1002,RUS,201609,157
1003,AUT,201807,18
1004,CZE,201501,5
1005,MEX,201705,6
1006,JOR,201906,2
1007,LBY,201801,9
1008,ARE,201705,1
1009,BEL,201907,18
1010,SVK,201812,338
1011,SEN,201601,4
1012,PSE,201902,4
1013,SSD,201609,5
1014,MLT,201711,8
1015,VAT,201808,4
1016,LVA,201804,10
1017,MDA,201810,1
1018,BLR,201911,3
1019,SYR,201811,6
1020,NGA,201611,5
1021,SWE,201806,6
1022,CYP,201909,1
1023,DMA,201604,1
1024,IRL,201506,1
1025,PRK,201602,1
1026,ARM,201607,4
1027,PHL,201511,1
1028,ALB,201609,2
1029,IDN,201801,1
1030,TUR,202003,28
1031,MNG,201805,4
1032,LBN,201506,2
1033,URY,202002,3
1034,THA,201912,1
1035,BRA,201910,2
1036,GRC,201912,2
1037,AFG,201812,4
1038,GRC,202006,7
1039,CAN,202008,2
1040,USA,201803,174
1041,LVA,201803,2
1042,SWE,201802,4
1043,SVK,201612,296
1044,DEU,201610,114
1045,WST,201611,7
1046,POL,201705,105
1047,PGS,201706,1
1048,QAT,201706,3
1049,ITA,201609,170
1050,CZE,201509,733
1051,RUS,201604,84
1052,GBR,201604,38
1053,IRQ,201503,6
1054,ARM,201803,1
1055,SWE,201506,8
1056,MKD,201601,27
1057,HUN,201911,139
1058,DEU,201611,63
1059,,201901,1568
1060,AUS,201911,2
1061,CYP,201707,5
1062,IDN,201609,6
1063,CHN,201705,64
1064,JOR,201705,1
1065,GRC,201504,30
1066,UKR,201708,16
1067,ISL,201604,6
1068,AUT,201504,35
1069,BEL,201503,24
1070,SVK,201806,365
1071,VNM,201506,25
1072,DMA,201602,1
1073,IDN,201608,2
1074,WST,201609,35
1075,GRC,201707,24
1076,YEM,201707,1
1077,ARE,201804,23
1078,KGZ,201901,1
1079,GRC,201903,4
1080,LUX,201706,7
1081,ZAF,202012,4
1082,MAR,201508,2
1083,UZB,201604,1
1084,BGR,201801,16
1085,EST,201811,8
1086,SDN,201609,1
1087,LVA,201602,4
1088,ESP,201708,21
1089,LBN,201602,3
1090,ESP,201612,8
1091,IDN,201511,3
1092,GRC,201810,4
1093,MDA,201803,3
1094,KAZ,201902,6
1095,TTO,201902,1
1096,PRT,201504,1
1097,MLT,201712,2
1098,GHA,201911,1
1099,TUR,201804,2
1100,FIN,202011,6
1101,IND,202002,1
1102,TWN,201806,2
1103,RUS,202004,45
1104,ARE,202005,4
1105,CAN,201906,43
1106,VEN,202007,13
