,Actor2CountryCode,MonthYear,Count
797,CHL,201803,90
798,LVA,201805,4
799,THA,201802,288
800,PRK,201712,1760
801,ITA,201511,161
802,RUS,201503,505
803,QAT,201509,38
804,AUT,201802,20
805,LUX,201807,23
806,NZL,201807,46
807,VCT,201703,2
808,ISR,201710,142
809,PER,201711,44
810,MYS,201507,171
811,AFG,201509,22
812,NLD,201508,93
813,MRT,201511,10
814,ARM,201510,12
815,JAM,201509,52
816,SEA,201805,56
817,EGY,201604,97
818,PRK,201501,10
819,LKA,201712,43
820,THA,201712,139
821,SRB,201712,9
822,IND,201911,130
823,POL,201510,56
824,FRA,201811,1412
825,ERI,201811,5
826,TTO,201811,5
827,PNG,201807,2
828,JAM,201602,8
829,KHM,201601,54
830,LKA,201904,112
831,KOR,201903,849
832,CHE,201901,210
833,COG,201707,2
834,AUT,201509,10
835,CHL,201604,23
836,LKA,201504,33
837,SEA,201512,82
838,PAN,201507,20
839,IDN,201810,335
840,NPL,201810,35
841,TJK,201810,47
842,MEX,201810,145
843,POL,201507,34
844,SYR,201911,17
845,KAZ,201705,12
846,ECU,201502,2
847,RWA,201603,20
848,CMR,201602,28
849,JOR,201901,16
850,CHL,201902,16
851,ISR,201906,120
852,TTO,201505,8
853,POL,201908,31
854,FRA,201606,332
855,ECU,201510,3
856,ASA,201502,5
857,TTO,201509,7
858,KIR,201910,2
859,BEN,201507,5
860,BOL,201505,14
861,SLB,201509,10
862,SHN,201605,106
863,BTN,201909,4
864,TON,201606,5
865,ARM,201508,6
866,JOR,201808,40
867,BEL,201808,17
868,PNG,201906,9
869,TKM,201702,2
870,BRN,201904,7
871,SAU,202002,61
872,OMN,202002,45
873,COK,201910,1
874,ARM,201601,15
875,AZE,201905,10
876,WSM,201905,2
877,VEN,201809,19
878,TUN,201805,3
879,ERI,201809,5
880,NAM,201607,1
881,BTN,201607,4
882,MOZ,201810,6
883,KOR,202012,504
884,CRI,201502,1
885,WST,201912,10
886,SLE,201902,3
887,IRQ,201912,33
888,PAN,201912,2
889,NOR,201905,31
890,AUS,202011,827
891,CIV,201810,4
892,CAN,202010,145
893,PRK,202010,137
894,SYR,202010,9
895,ARG,202010,10
896,BHR,202003,6
897,HUN,202002,6
898,OMN,201607,4
899,HTI,201808,5
900,ESP,202011,26
901,DOM,201705,1
902,CMR,201905,2
903,TMP,201806,1
904,CAS,201904,2
905,KIR,202011,3
906,DZA,201503,1
907,SAS,202004,1
908,NLD,202005,24
909,NOR,202006,26
910,GBR,202007,444
911,PRK,202006,279
912,TUN,202007,15
913,CHL,202007,83
914,ALB,202007,3
915,KIR,202007,2
916,QAT,202009,8
917,FJI,201702,9
918,MDG,201703,18
919,,201610,25243
920,DZA,201610,7
921,KHM,201604,57
922,BRN,201702,66
923,USA,201701,5785
924,TTO,201611,7
925,NOR,201701,32
926,EUR,201701,355
927,BRA,201701,111
928,MAR,201706,10
929,ARG,201708,27
930,BRN,201708,60
931,GUY,201708,18
932,DEU,201510,219
933,BEN,201612,3
934,NGA,201612,52
935,EGY,201612,98
936,FIN,201612,51
937,MYS,201705,117
938,IRN,201705,114
939,SRB,201702,7
940,BMU,201706,1
941,KIR,201612,3
942,NER,201612,10
943,MMR,201709,148
944,VAT,201704,4
945,KAZ,201601,19
946,SGP,201711,158
947,MYS,201805,104
948,ETH,201709,10
949,USA,201710,4104
950,MCO,201711,4
951,GTM,201801,6
952,AUS,201507,631
953,JPN,201504,5572
954,GBR,201603,538
955,TWN,201605,419
956,LBR,201803,7
957,MDG,201803,4
958,NZL,201802,53
959,AFR,201710,75
960,ARG,201710,64
961,PSE,201603,101
962,MNG,201512,9
963,ESP,201602,121
964,UGA,201605,39
965,UKR,201510,78
966,PRK,201506,172
967,IRQ,201502,32
968,JAM,201604,25
969,ESP,201508,92
970,NZL,201505,71
971,PAK,201712,103
972,BHR,201804,15
973,AGO,201804,19
974,DEU,201910,235
975,AFR,201807,84
976,LKA,201811,67
977,PRY,201811,18
978,DNK,201806,26
979,VUT,201807,5
980,AFG,201510,81
981,JOR,201503,53
982,URY,201801,12
983,YEM,201803,13
984,NER,201707,4
985,TGO,201904,1
