,Actor2CountryCode,MonthYear,Count
416,FRA,201804,9650
417,HTI,201805,18
418,JOR,201804,105
419,IND,201503,75
420,TUN,201504,404
421,BFA,201602,163
422,JOR,201505,69
423,JOR,201604,343
424,URY,201510,153
425,THA,201503,46
426,KOR,201505,75
427,GRD,201603,7
428,SYC,201604,13
429,ERI,201601,14
430,KHM,201907,27
431,NIC,201907,7
432,VCT,201505,4
433,KHM,201604,35
434,ZMB,201506,20
435,MCO,201601,54
436,KGZ,201803,1
437,VEN,201906,48
438,SYC,201508,20
439,MDG,201502,62
440,AUS,201807,436
441,SUR,201807,5
442,TWN,201807,45
443,CMR,201807,48
444,KAZ,201605,40
445,MDV,201908,43
446,FIN,201908,57
447,GMB,201908,4
448,LTU,201908,13
449,WLF,201509,4
450,WSM,201505,3
451,HND,201509,3
452,MDV,201901,51
453,SAU,201812,415
454,QAT,201812,77
455,WST,201901,44
456,CIV,201901,74
457,WSM,201808,11
458,SOM,201808,6
459,YEM,201907,22
460,ECU,201811,28
461,CZE,201811,80
462,DJI,201607,5
463,ARM,201809,350
464,TGO,201903,15
465,SLE,201604,1
466,CZE,201904,87
467,NOR,201806,64
468,NZL,201806,92
469,TGO,201809,4
470,DZA,202001,220
471,PAN,201912,13
472,PHL,201912,48
473,NAM,201803,20
474,SRB,201601,15
475,COM,201808,14
476,BEL,201905,611
477,LAO,201602,7
478,CZE,201911,42
479,BRB,201911,1
480,SOM,201502,7
481,CYM,201601,5
482,NAM,201903,7
483,COM,201910,17
484,TWN,201903,25
485,GRD,201812,5
486,IND,202012,87
487,SEN,202012,176
488,GTM,201812,10
489,SLV,201808,5
490,BDI,201904,19
491,SLV,201909,9
492,HTI,202012,18
493,LBR,202012,24
494,TTO,201809,8
495,MOZ,201804,3
496,,202010,29088
497,SEN,202011,36
498,JAM,202011,6
499,ISL,201502,2
500,GAB,201905,1
501,HND,201901,2
502,SDN,201809,12
503,MWI,201903,1
504,SUR,201510,2
505,TCD,202010,6
506,ERI,201911,3
507,LAO,201910,7
508,SVK,201606,93
509,TKM,201601,2
510,SUR,201808,4
511,SLV,201912,3
512,SSD,202010,11
513,ATG,202003,3
514,UGA,201812,16
515,ZMB,201911,5
516,ESP,202006,692
517,SGP,202006,58
518,NIC,202004,3
519,ARE,202004,43
520,LBY,202004,114
521,SLE,202003,10
522,AGO,202003,6
523,PAK,202005,72
524,LBY,201906,190
525,ISR,201905,290
526,LTU,202008,13
527,ARG,202009,70
528,JOR,202012,45
529,FRA,201702,9338
530,THA,201702,31
531,AUS,201511,1327
532,PAK,201707,153
533,JPN,201607,261
534,TUR,201708,645
535,ARE,201704,92
536,WLF,201704,3
537,HRV,201608,21
538,VUT,201608,5
